user_message,business_type,intent,response
I have a sushi restaurant,restaurant,business_growth,"Excellent! Specialty restaurants need cultural authenticity and visual appeal. For your sushi restaurant, I'd recommend: 1) Website with authentic Japanese design and fresh fish photos, 2) Instagram marketing showcasing sushi artistry, 3) Online ordering with detailed menu descriptions, 4) Cultural storytelling and chef expertise, 5) Customer education about sushi varieties. What's your specialty - traditional, fusion, or omakase?"
I run a yoga studio,fitness,business_growth,"Great! Fitness businesses need motivation and community building. For your yoga studio, I'd recommend: 1) Website with class schedules and instructor profiles, 2) Social media for wellness tips and community building, 3) Online class booking and membership system, 4) Virtual class streaming capabilities, 5) Wellness blog and educational content. What styles of yoga do you teach?"
I have a bar,hospitality,business_growth,"Great! Bars and hospitality businesses need atmosphere and community engagement. For your bar, I'd recommend: 1) Website with event calendar and drink menus, 2) Social media for events and happy hour promotions, 3) Online reservation system, 4) Customer loyalty programs, 5) Event hosting and private party booking. What's your bar's specialty - craft cocktails, sports bar, or live music?"
I run a pharmacy,healthcare,business_growth,"Excellent! Pharmacies need trust and convenience for customers. I'd recommend: 1) Professional website with prescription refill portal, 2) Local SEO for pharmacy searches, 3) Customer communication system for prescription reminders, 4) Health education content and blog, 5) Online consultation booking. Do you offer specialized services like compounding or vaccinations?"
I run a small startup,technology,business_growth,"Exciting! Startups need rapid growth and market validation. For your startup, I'd recommend: 1) Professional website with clear value proposition, 2) Social media marketing for brand awareness, 3) Lead generation and customer acquisition systems, 4) Analytics and performance tracking, 5) Investor presentation materials. What industry is your startup in?"
I make handmade jewelry,crafts,business_growth,"Beautiful! Jewelry businesses need visual storytelling and trust building. For your handmade jewelry business, I'd recommend: 1) Professional photography showcasing your pieces, 2) E-commerce website with secure payment processing, 3) Instagram and Pinterest marketing for visual appeal, 4) Custom order management system, 5) Local craft fair and market presence. What materials do you specialize in?"
I create custom furniture,crafts,business_growth,"Excellent! Custom furniture businesses need to showcase craftsmanship and quality. I'd recommend: 1) Professional website with detailed project galleries, 2) Before/after transformation photos for social media, 3) Custom quote and consultation booking system, 4) Local SEO for furniture searches, 5) Customer testimonial and review management. Do you focus on residential or commercial furniture?"
I run an artisan bakery,food_agriculture,business_growth,"Wonderful! Artisan bakeries need to showcase freshness and quality. For your bakery, I'd recommend: 1) Website with daily specials and ordering system, 2) Instagram marketing with fresh-baked goods photos, 3) Local SEO for bakery searches, 4) Customer loyalty program, 5) Event catering and special order management. What's your specialty - bread, pastries, or custom cakes?"
I have a woodworking shop,crafts,business_growth,"Great! Woodworking businesses need to demonstrate skill and quality. I'd recommend: 1) Professional website with project portfolio, 2) Social media showcasing the creation process, 3) Custom order and consultation booking, 4) Local SEO for woodworking services, 5) Before/after project galleries. Do you focus on furniture, cabinetry, or decorative pieces?"
I operate a food truck,restaurant,business_growth,"Fantastic! Food trucks need location-based marketing and customer engagement. For your food truck, I'd recommend: 1) Website with location schedule and menu, 2) Social media for real-time location updates, 3) Mobile ordering and payment system, 4) Local event booking and catering, 5) Customer loyalty and rewards program. What type of cuisine do you serve?"
I have a mobile car wash,automotive,business_growth,"Perfect! Mobile car wash services need convenience and trust. I'd recommend: 1) Website with online booking and service areas, 2) Local SEO for mobile car wash searches, 3) Customer communication and scheduling system, 4) Before/after photo galleries, 5) Subscription and loyalty programs. Do you serve residential, commercial, or both?"
I run a tree service company,landscaping_gardening,business_growth,"Excellent! Tree service companies need safety credentials and expertise showcase. I'd recommend: 1) Professional website with certifications and insurance info, 2) Before/after tree work galleries, 3) Emergency service contact system, 4) Local SEO for tree service searches, 5) Customer review and testimonial management. Do you specialize in removal, trimming, or both?"
I have a pool cleaning service,cleaning_services,business_growth,"Great! Pool cleaning services need reliability and seasonal marketing. I'd recommend: 1) Website with service schedules and pricing, 2) Local SEO for pool service searches, 3) Automated scheduling and customer communication, 4) Seasonal service reminders and promotions, 5) Before/after pool transformation photos. Do you offer maintenance, repairs, or both?"
I operate a pest control business,home_repair,business_growth,"Important service! Pest control businesses need trust and emergency availability. I'd recommend: 1) Professional website with service guarantees, 2) Local SEO for pest control searches, 3) Emergency contact and scheduling system, 4) Educational content about pest prevention, 5) Customer follow-up and maintenance programs. What pests do you specialize in treating?"
I have a mobile pet grooming service,pet_services,business_growth,"Wonderful! Mobile pet grooming offers convenience for pet owners. I'd recommend: 1) Website with service areas and online booking, 2) Social media with before/after pet photos, 3) Customer communication and scheduling system, 4) Pet owner education and care tips, 5) Loyalty programs for regular customers. What services do you offer beyond grooming?"
I run a dog walking service,pet_services,business_growth,"Great! Dog walking services need trust and reliability. I'd recommend: 1) Professional website with walker profiles and insurance info, 2) GPS tracking and photo updates for owners, 3) Online booking and scheduling system, 4) Customer communication and progress reports, 5) Emergency contact and backup systems. Do you offer additional pet care services?"
I have a tutoring business,education,business_growth,"Excellent! Tutoring businesses need credibility and results showcase. I'd recommend: 1) Professional website with tutor credentials and subjects, 2) Online scheduling and payment system, 3) Student progress tracking and parent communication, 4) Virtual tutoring platform integration, 5) Success stories and testimonials. What subjects do you specialize in?"
I operate a music school,education,business_growth,"Wonderful! Music schools need to showcase talent and teaching quality. I'd recommend: 1) Website with instructor profiles and lesson options, 2) Online booking and payment system, 3) Student performance videos and recital promotion, 4) Practice tracking and parent communication, 5) Virtual lesson capabilities. What instruments do you teach?"
I have a dance studio,fitness,business_growth,"Fantastic! Dance studios need community building and performance showcase. I'd recommend: 1) Website with class schedules and instructor bios, 2) Social media with dance videos and student spotlights, 3) Online class booking and payment system, 4) Performance and recital promotion, 5) Student progress tracking. What dance styles do you offer?"
I run a martial arts dojo,fitness,business_growth,"Excellent! Martial arts schools need discipline and achievement showcase. I'd recommend: 1) Professional website with instructor credentials and belt progression, 2) Student achievement and tournament highlights, 3) Online class booking and payment system, 4) Parent communication and progress tracking, 5) Community events and demonstration promotion. What martial arts do you teach?"
I have a photography studio,professional,business_growth,"Beautiful! Photography businesses need portfolio showcase and booking convenience. I'd recommend: 1) Stunning website with portfolio galleries by category, 2) Online booking and consultation scheduling, 3) Social media with recent work highlights, 4) Client gallery delivery system, 5) Package pricing and contract management. What photography do you specialize in?"
I operate a wedding planning business,professional,business_growth,"Romantic! Wedding planning needs trust and detailed showcase. I'd recommend: 1) Beautiful website with wedding portfolio and vendor network, 2) Online consultation booking and planning tools, 3) Social media with real wedding features, 4) Client communication and timeline management, 5) Vendor coordination and payment systems. What's your planning specialty?"
I have a catering company,restaurant,business_growth,"Delicious! Catering businesses need menu showcase and event management. I'd recommend: 1) Website with menu options and event galleries, 2) Online quote requests and event booking, 3) Social media with food presentation photos, 4) Event planning and coordination tools, 5) Customer testimonials and reviews. What type of events do you cater?"
I run a coffee roastery,retail_food,business_growth,"Aromatic! Coffee roasteries need education and subscription services. I'd recommend: 1) E-commerce website with coffee education and brewing guides, 2) Subscription service and online ordering, 3) Social media with roasting process and origin stories, 4) Local café partnerships and wholesale, 5) Coffee tasting events and workshops. Do you focus on single origin or blends?"
